témoignent           ==> made : 0.139612           doing : 0.0698061         transferring : 0.0698061 
éclatera             ==> taste : 0.0699217         serving : 0.0699217       self : 0.0699217         
sûre                 ==> than : 0.392499           are : 0.118975            sure : 0.0650578         
mondiaux             ==> networks : 0.23894        global : 0.23894          encourage : 0.23894      
péruvien             ==> peruvian : 0.165391       time : 0.165391           across : 0.165391        
nouveauté            ==> stipulation : 0.102832    progress : 0.102832       new : 0.102832           
avait                ==> had : 0.491227            was : 0.211291            from : 0.175974          
confié               ==> given : 0.112589          statute : 0.112289        apply : 0.0562947        
avais                ==> was : 0.0600887           vote : 0.0600887          securing : 0.0600887     
normales             ==> business : 0.179061       football : 0.108925       expect : 0.108925        
ligne                ==> line : 0.454067           are : 0.308058            all : 0.236254           
reconnaisse          ==> most : 0.089615           what : 0.086496           from : 0.0561515         
pilotage             ==> quickly : 0.0593167       pilotage : 0.0593167      phase : 0.0593167        
étroitement          ==> closely : 0.464462        turkey : 0.286339         would : 0.241658         
pesc                 ==> cfsp : 0.466026           does : 0.179066           described : 0.0895328    
b5                   ==> b5 : 0.661913             by : 0.206177             behalf : 0.098665        
voire                ==> or : 0.178543             towards : 0.0684226       away : 0.0684226         
humbles              ==> undervalued : 0.166667    like : 0.166667           humble : 0.166667        
jakarta              ==> jakarta : 0.142291        his : 0.142291            him : 0.142291           
ferme                ==> take : 0.578022           where : 0.0402416         stance : 0.0402416       
préoccupant          ==> worrying : 0.531944       rightly : 0.0837402       reached : 0.0837402      
150                  ==> 150 : 0.763967            are : 0.180244            a : 0.00551705           
certitude            ==> certainty : 0.390098      we : 0.235583             welfare : 0.0230729      
158                  ==> rules : 0.111111          rule : 0.111111           pursuant : 0.111111      
conséquent           ==> therefore : 0.776466      a : 0.216372              have : 0.00685612        
facilité             ==> improved : 0.5            has : 0.5                 to : 7.22213e-07         
signification        ==> bearing : 0.0908952       behind : 0.0908952        pros : 0.0908952         
abandonnée           ==> unwilling : 0.0254797     totalitarian : 0.0254797  supposed : 0.0254797     
comportent           ==> specifies : 0.0548054     pornography : 0.0548054   mental : 0.0548054       
questeurs            ==> will : 0.144771           so : 0.1256               quaestors : 0.121017     
protester            ==> went : 0.0588558          undermine : 0.0588558     through : 0.0588558      
longueur             ==> times : 0.230462          speaking : 0.230462       adjust : 0.230462        
schuman              ==> given : 0.201635          task : 0.143475           schuman : 0.100817       
biens                ==> goods : 0.616049          are : 0.176043            a : 0.171477             
objectifs            ==> objectives : 0.726732     achieved : 0.273221       this : 4.65348e-05       
impraticable         ==> unworkable : 0.0552843    understand : 0.0552843    text : 0.0552843         
ottawa               ==> ottawa : 0.405822         as : 0.33613              at : 0.246414            
impressionnantes     ==> palestinians : 0.258746   great : 0.258746          you : 0.258746           
excuserez            ==> speaking : 0.159012       pardon : 0.159012         misuse : 0.159012        
faisait              ==> were : 0.245197           populous : 0.245197       eu : 0.245197            
doter                ==> on : 0.363693             might : 0.0926183         developments : 0.0926183 
corps                ==> mean : 0.25               longer : 0.25             establishment : 0.25     
massivement          ==> vote : 0.498699           overwhelmingly : 0.233983 from : 0.233983          
sérum                ==> distribution : 0.0681532  via : 0.0573684           herds : 0.0573684        
énormes              ==> tremendous : 0.422505     facing : 0.422505         among : 0.012716         
exigeantes           ==> transparent : 0.0998475   strict : 0.0998475        cancellation : 0.0998475 
étape                ==> step : 0.446922           for : 0.248301            all : 0.119194           
opposera             ==> demand : 0.138197         wide : 0.138197           opposed : 0.138197       
ballet               ==> wild : 0.209204           goose : 0.209204          chase : 0.209204         
92                   ==> s : 0.0907582             shipper : 0.0826686       recipient : 0.0826686    
révèle               ==> an : 0.158683             it : 0.145017             threatening : 0.0796723  
habile               ==> strongly : 0.142857       liberal : 0.142857        forceful : 0.142857      
rattachent           ==> producers : 0.0799285     safe : 0.0799285          reversed : 0.0799285     
